Item,Internal Cod,Cod Vend,Description,Quantity,UM,Unit Price,Net Amount
2180,108758,800897828417,BUTR GLOSS - RED VELVET,60.00,PC,2.40,144.00
2190,108760,800897847708,BUTR GLOSS - STRAWBERRY CHEESECAKE,60.00,PC,2.40,144.00
2200,118320,800897226596,BUTTER LIP GLOSS 54,144.00,PC,2.40,345.60
2210,115169,800897197797,BUTTER LIP GLOSS BIT OF HONEY 35,60.00,PC,2.40,144.00
2220,115174,800897197834,BUTTER LIP GLOSS ROCKY ROAD 39,30.00,PC,2.40,72.00
2230,115170,800897197803,BUTTER LIP GLOSS SORBET 36,30.00,PC,2.40,72.00
2240,115173,800897197827,BUTTER LIP GLOSS SUMMER FRUIT 38,30.00,PC,2.40,72.00
2250,121409,,FAT OIL LIP DRIP CHILLIN LIKE A VIL,72.00,PC,0.00,0.00
2260,121414,,FAT OIL LIP DRIP INSIDE SCOOP,72.00,PC,0.00,0.00
2270,121411,,FAT OIL LIP DRIP LIVIN THE CREAM,72.00,PC,0.00,0.00
2280,121408,,FAT OIL LIP DRIP LOSIN CONETROL,72.00,PC,0.00,0.00
2290,121410,,FAT OIL LIP DRIP SPLASH OF CREAM,72.00,PC,0.00,0.00
2300,121412,,FAT OIL LIP DRIP SPRINKLE SPRINKLE,72.00,PC,0.00,0.00
2310,113373,800897182625,FILLER INSTINCT LIP BRUNCH DRUNK,30.00,PC,2.80,84.00
2320,113375,800897182649,FILLER INSTINCT LIP CHEAP FILLS,30.00,PC,2.80,84.00
2330,113372,800897182618,FILLER INSTINCT LIP LEST GLAZE,30.00,PC,2.80,84.00
2340,113377,800897182663,FILLER INSTINCT LIP MAJOR MOUTH,30.00,PC,2.80,84.00
2350,113374,800897182632,FILLER INSTINCT LIP SPARKLING PLEASE,30.00,PC,2.80,84.00
2360,109603,K2885400,LIP LINGERIE GLOSS - CLEAR,144.00,PC,3.00,432.00
