Item,Internal Cod,Cod Vend,Description,Quantity,UM,Unit Price,Net Amount
3410,120100,,MAKEUP SETTING SPRAY MAXI DEWY,144.00,PC,0.00,0.00
3420,116450,800897206666,MAKEUP SETTING SPRAY MATTE MAXI,144.00,PC,8.80,"1,267.20"
3430,115925,800897198046,MAKEUP SETTING SPRAY RADIANT,144.00,PC,4.00,576.00
3440,109957,800897137277,MKUP SETTING SPRAY - DEWY,30.00,PC,4.00,120.00
3450,109956,800897183170,MKUP SETTING SPRAY - MATTE,144.00,PC,4.00,576.00
3460,118306,800897129972,PLUM FINISH SETTING SPRAY 04,144.00,PC,3.80,547.20
3470,118308,800897130350,PLUM FINISH SETTING SPRAY MINI 04M,144.00,PC,2.00,288.00
3480,109923,800897143596,MECHANICAL PNCL LP - COCOA,60.00,PC,2.00,120.00
3490,109924,800897143541,MECHANICAL PNCL LP - DARK RED,60.00,PC,2.00,120.00
3500,109925,800897282325,MECHANICAL PNCL LP - HOT PINK,60.00,PC,2.00,120.00
3510,109927,800897143435,MECHANICAL PNCL LP - NATURAL,60.00,PC,2.00,120.00
3520,109928,800897143442,MECHANICAL PNCL LP - NECTAR,60.00,PC,2.00,120.00
3530,109929,800897143527,MECHANICAL PNCL LP - NUDE,60.00,PC,2.00,120.00
3540,109930,800897143480,MECHANICAL PNCL LP - NUDE PINK,60.00,PC,2.00,120.00
3550,109932,800897828356,MECHANICAL PNCL LP - PINKY BEIGE,60.00,PC,2.00,120.00
3560,109933,800897143589,MECHANICAL PNCL LP - PLUM,60.00,PC,2.00,120.00
3570,109935,800897143534,MECHANICAL PNCL LP - RED,60.00,PC,2.00,120.00
3580,109936,800897143510,MECHANICAL PNCL LP - RUBY,60.00,PC,2.00,120.00
3590,109937,800897143503,MECHANICAL PNCL LP - SAND BEIGE,60.00,PC,2.00,120.00
3600,109938,800897143473,MECHANICAL PNCL LP - SIENNA,60.00,PC,2.00,120.00
3610,109940,800897143558,MECHANICAL PNCL LP - VANILLA SKY,60.00,PC,2.00,120.00
3620,110650,800897126414,SLIM LP PNCL - BEIGE,60.00,PC,2.00,120.00
3630,110652,800897108366,SLIM LP PNCL - BLOOM,60.00,PC,2.00,120.00
3640,110657,800897108045,SLIM LP PNCL - CABARET,30.00,PC,2.00,60.00
3650,110658,800897108052,SLIM LP PNCL - CAPPUCCINO,60.00,PC,0.01,0.60
3660,110660,800897108076,SLIM LP PNCL - COCOA,60.00,PC,0.01,0.60
3670,110664,K4001800,SLIM LP PNCL - DEEP PURPLE,30.00,PC,1.60,48.00
3680,110669,800897108281,SLIM LP PNCL - EVER,30.00,PC,2.00,60.00
3690,110672,800897108298,SLIM LP PNCL - HOT COCOA,30.00,PC,2.00,60.00
3700,110674,800897108175,SLIM LP PNCL - HOT RED,30.00,PC,2.00,60.00
3710,110675,800897108090,SLIM LP PNCL - MAHOGANY,60.00,PC,2.00,120.00
3720,110676,800897108311,SLIM LP PNCL - MAUVE,30.00,PC,2.00,60.00
3730,110677,800897108106,SLIM LP PNCL - NATURAL,30.00,PC,2.00,60.00
3740,110680,800897139445,SLIM LP PNCL - NUDE PINK,30.00,PC,2.00,60.00
3750,110681,800897139414,SLIM LP PNCL - NUDE TRUFFLE,30.00,PC,2.00,60.00
3760,110685,800897139469,SLIM LP PNCL - PEEKABOO NEUTRAL,30.00,PC,2.00,60.00
3770,110488,800897170448,SUEDE MATTE LIP LNR-BRUNCH ME,30.00,PC,2.00,60.00
3780,110491,K2893000,SUEDE MATTE LIP LNR-CAPE TOWN,30.00,PC,1.60,48.00
3790,110514,K2899400,SUEDE MATTE LIP LNR-SAN FRANCISCO,144.00,PC,1.60,230.40
3800,110524,800897064341,SUEDE MATTE LP LNR - ALIEN,30.00,PC,2.00,60.00
3810,110530,800897064334,SUEDE MATTE LP LNR - CLUB HOPPER,30.00,PC,2.00,60.00
3820,110532,K2287200,SUEDE MATTE LP LNR - FOILED AGAIN,144.00,PC,1.60,230.40
3830,110533,K2287600,SUEDE MATTE LP LNR - FOUL MOUTH,30.00,PC,1.60,48.00
3840,110534,K2287500,SUEDE MATTE LP LNR - JET SET,30.00,PC,1.60,48.00
3850,110535,800897064121,SUEDE MATTE LP LNR - KITTEN HEELS,30.00,PC,2.00,60.00
3860,110537,800897064433,SUEDE MATTE LP LNR - LONDON,30.00,PC,2.00,60.00
3870,110538,800897064402,SUEDE MATTE LP LNR - LOS ANGELES,216.00,PC,1.60,345.60
3880,110542,800897064150,SUEDE MATTE LP LNR - ORANGE COUNTY,30.00,PC,2.00,60.00
3890,110545,800897064259,SUEDE MATTE LP LNR - RUN THE WORLD,30.00,PC,0.01,0.30
3900,110547,800897064174,SUEDE MATTE LP LNR - SANDSTORM,30.00,PC,2.00,60.00
3910,110550,K2285900,SUEDE MATTE LP LNR - STONE FOX,30.00,PC,1.60,48.00
3920,110551,K2284600,SUEDE MATTE LP LNR - SWAY,30.00,PC,1.60,48.00
3930,110552,800897064198,SUEDE MATTE LP LNR - TEA & COOKIES,30.00,PC,2.00,60.00
3940,110554,800897064358,SUEDE MATTE LP LNR - WHIPPED CAVIAR,30.00,PC,0.01,0.30
3950,110555,800897064327,SUEDE MATTE LP LNR -DOWNTOWN BEAUTY,144.00,PC,2.00,288.00
3960,110556,800897064266,SUEDE MATTE LP LNR -LITTLE DENIM DR,144.00,PC,2.00,288.00
3970,110557,K2287100,SUEDE MATTE LP LNR -RESPECT THE PIN,30.00,PC,1.60,48.00
,,,,,,,
