PRODUCT,LEGACY PRODUCT,DESCRIPTION,UPC,QTY ORD,QTY,PRICE,UNIT ALLOW,NET PRICE,EXT US($)
K2387705,EL01,EPIC INK LNR - BLACK,800897085606,216,5,6.00,2.20,4.00,864.00
K4349700,ESL03,EPIC SMKE ANGLD LNR N BLNDR MAUVE G,800897216801,30,1,7.20,2.40,4.80,144.00
K4350500,ESL11,EPIC SMKE ANGLD LNR N BLNDR MOCHA M,800897216887,30,7,7.20,2.40,4.80,144.00
K4798202,EWLS02,EPIC WEAR LINER STICKS GOLD PLATED,800897207441,30,1,5.40,1.80,3.60,108.00
K3273301,EWLS32,EPIC WEAR LINER STICKS BROWN SHIMME,800897051213,30,1,5.40,1.80,3.60,108.00
K3273501,EWLS34,EPIC WEAR LINER STICKS BURNT SIENNA,800897051280,30,1,5.40,1.80,3.60,108.00
K4486701,EWSPIL01,EPIC WEAR SEMI - PERM LQD LNR BLACK,800897197146,60,60,6.60,2.20,4.40,264.00
K4486701,EWSPIL02,EPIC WEAR SEMI - PERM LQD LNR BROWN,800897197153,60,60,6.60,2.20,4.40,264.00
K4486800,EWSPIL03,EPIC WEAR SEMI - PERM LQD LNR STONE,800897197160,60,60,6.60,2.20,4.40,264.00
K4486900,EWSPIL04,EPIC WEAR SEMI - PERM LQD LNR WHITE,800897197177,60,60,6.60,2.20,4.40,264.00
K4469000,EWSPIL05,EPIC WEAR SEMI - PERM LQD LNR SAPPH,800897197184,60,60,6.60,2.20,4.40,264.00
K4469100,EWSPIL06,EPIC WEAR SEMI - PERM LQD LNR LILAC,800897197191,60,60,6.60,2.20,4.40,264.00
K4469200,EWSPIL07,EPIC WEAR SEMI - PERM LQD LNR RED,800897197207,60,60,6.60,2.20,4.40,264.00
K3523103,FFEP03,FILL & FLUFF EYBRW PMD PNCL-AUBURN,800897188038,30,30,7.80,2.60,5.20,156.00
K3523203,FFEP04,FILL & FLUFF EYBRW PMD PNCL-CHOCLTE,800897188045,60,60,7.80,2.60,5.20,312.00
K3523303,FFEP05,FILL & FLUFF EYBRW PMD PNCL-ASH BRN,800897188052,30,30,7.80,2.60,5.20,156.00
K3523403,FFEP06,FILL & FLUFF EYBRW PMD PNCL-BRUNETT,800897188069,30,1,7.80,2.60,5.20,156.00
K3523503,FFEP07,FILL & FLUFF EYBRW PMD PNCL-ESPRESSO,800897188087,60,60,7.80,2.60,5.20,312.00
K4665601,FIPLC05,FILLER INSTINCT PLUMP LIP COLOR SUG,800897202428,30,0,0.00,0.00,0.00,0.00
K6086800,FOLD11,FAT OIL LIP DRIP LIVIN THE CREAM,800897261573,72,72,5.40,1.80,3.60,259.20
K6086900,FOLD12,FAT OIL LIP DRIP SPRINKLE SPRINKLE,800897261588,72,72,5.40,1.80,3.60,259.20
K6087000,FOLD13,FAT OIL LIP DRIP LOSIN CONTROL,800897261595,72,72,5.40,1.80,3.60,259.20
K6087100,FOLD14,FAT OIL LIP DRIP INSIDE SCOOP,800897261603,72,72,5.40,1.80,3.60,259.20
K3461200,GGPCP01,GLITTER GOALS CREAM PRO PALETTE,800897184131,30,0,0.00,0.00,0.00,0.00
K4180505,HDFP02,HI DEF FNSNG PWDR - BANANA,800897834678,30,30,7.20,2.40,4.80,144.00
K4180604,HDFP03,HI DEF FNSNG PWDR - MINT GREEN,800897834688,30,30,7.20,2.40,4.80,144.00
K1286900,LAS06,LIFT N SNATCH BRW TINT PEN ASH BRW,800897004538,30,30,7.80,2.60,5.20,156.00
