PRODUCT,LEGACY PRODUCT,DESCRIPTION,UPC,QTY ORD,QTY,PRICE,UNIT ALLOW,NET PRICE,EXT US($)
K3995404,SMLC06,SFT MATTE LP CRM - ISTANBUL,80089714287,60,60,4.20,1.40,2.80,168.00
K3995704,SMLC09,SFT MATTE LP CRM - ABU DHABI,80089714290,60,60,4.20,1.40,2.80,168.00
K3995804,SMLC10,SFT MATTE LP CRM - MONTE CARLO,80089714291,30,30,4.20,1.40,2.80,84.00
K3995904,SMLC11,SFT MATTE LP CRM - MILAN,80089714292,30,30,4.20,1.40,2.80,84.00
K3996205,SMLC14,SFT MATTE LP CRM - ZURICH,80089782992,30,30,4.20,1.40,2.80,84.00
K3996304,SMLC15,SFT MATTE LP CRM - ATHENS,80089782993,60,60,4.20,1.40,2.80,168.00
K3996604,SMLC18,SFT MATTE LP CRM - PRAGUE,80089782996,60,60,4.20,1.40,2.80,168.00
K3996705,SMLC19,SFT MATTE LP CRM - CANNES,80089782997,60,60,4.20,1.40,2.80,168.00
K3996804,SMLC20,SFT MATTE LP CRM - COPENHAGEN,80089782998,60,60,4.20,1.40,2.80,168.00
K4371504,SMLC21,SFT MATTE LP CRM - BERLIN,80089784893,60,60,4.20,1.40,2.80,168.00
K4371706,SMLC22,SFT MATTE LP CRM - BUDAPEST,80089784895,60,60,4.20,1.40,2.80,168.00
K4371905,SMLC27,SFT MATTE LP CRM - MADRID,80089784897,60,60,4.20,1.40,2.80,168.00
K4372405,SMLC32,SFT MATTE LP CRM - ROME,80089784902,30,30,4.20,1.40,2.80,84.00
K286303,SMLL05,SUEDE MATTE LIP LNR - ORANGE COUNTY,80089706415,30,30,3.00,1.00,2.00,60.00
K286505,SMLL07,SUEDE MATTE LIP LNR - SANDSTORM,80089706417,30,30,3.00,1.00,2.00,60.00
K286703,SMLL09,SUEDE MATTE LIP LNR - TEA & COOKIES,80089706419,30,30,3.00,1.00,2.00,60.00
K286903,SMLL11,SUEDE MATTE LIP LNR - KITTEN HEELS,80089706421,30,30,3.00,1.00,2.00,60.00
K287302,SMLL15,SUEDE MATTE LIP LNR - RUN THE WORLD,80089706425,30,30,0.00,0.00,0.00,0.00
K287403,SMLL16,SUEDE MATTE LIP LNR -LITTLE DENIM DR,80089706426,144,144,3.00,1.00,2.00,288.00
K288003,SMLL22,SUEDE MATTE LIP LNR -DOWNTOWN BEAUTY,80089706432,144,144,3.00,1.00,2.00,288.00
K288103,SMLL24,SUEDE MATTE LIP LNR - CLUB HOPPER,80089706433,30,30,3.00,1.00,2.00,60.00
K288203,SMLL24,SUEDE MATTE LIP LNR - ALIEN,80089706434,30,30,3.00,1.00,2.00,60.00
K288305,SMLL25,SUEDE MATTE LIP LNR - WHIPPED CAVIAR,80089706435,30,30,3.00,1.00,2.00,60.00
K288803,SMLL30,SUEDE MATTE LIP LNR - LOS ANGELES,80089706440,216,216,3.00,1.00,2.00,432.00
K289103,SMLL33,SUEDE MATTE LIP LNR - LONDON,80089706443,30,30,3.00,1.00,2.00,60.00
K300102,SMLL53,SUEDE MATTE LIP LNR-BRUNCH ME,80089717044,30,30,3.00,1.00,2.00,60.00
K2358902,SOC01,STRIPPED OFF CLNSR - MICELL WTR,80089708107,144,144,4.20,1.40,2.80,403.20
